Wall time,Step,Value
1548734879.889984,2175,0.10000000149011612
1548734880.81171,2176,0.10000000149011612
1548734881.80905,2177,0.10000000149011612
1548734882.7674398,2178,0.10000000149011612
1548734886.396051,2181,0.10000000149011612
1548734887.744378,2183,0.10000000149011612
1548734892.075627,2185,0.20000000298023224
1548734902.1228778,2191,0.10000000149011612
1548734903.868874,2192,0.10000000149011612
1548734905.818798,2194,0.10000000149011612
1548734907.435543,2195,0.10000000149011612
1548734908.355862,2196,0.09000000357627869
1548734909.811769,2197,0.10000000149011612
1548734910.780375,2198,0.10000000149011612
1548734915.5785081,2202,0.10000000149011612
1548734922.652237,2207,0.10000000149011612
1548734924.672174,2208,0.10000000149011612
1548734933.368908,2214,0.10000000149011612
1548734936.5465658,2216,0.10000000149011612
1548734942.5866828,2219,0.10000000149011612
1548734946.1672919,2222,0.10000000149011612
1548734946.773771,2223,0.0
1548734947.742086,2224,0.10000000149011612
1548734952.177491,2227,0.10000000149011612
1548734952.62166,2228,0.0
1548734955.74049,2231,0.10000000149011612
1548734965.770577,2240,0.10000000149011612
1548734966.732658,2241,0.10000000149011612
1548734974.395531,2247,0.0
1548734976.5071712,2249,0.10000000149011612
1548734978.638855,2251,0.10000000149011612
1548734983.586657,2255,0.10000000149011612
1548734987.551368,2258,0.10000000149011612
1548734992.079805,2260,0.1899999976158142
1548734998.421142,2266,0.0
1548735002.135366,2269,0.10000000149011612
